"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.807408910E-1,-6.446954012E-1,-2.981774092E0,1.451023102E0,3.378176570E0
4.887059790E-1,-6.683892012E-1,-3.122430325E0,1.452691078E0,3.508080191E0
4.966100320E-1,-6.871089935E-1,-3.246654987E0,1.415844917E0,3.607977855E0
5.045446020E-1,-7.132201195E-1,-3.385332584E0,1.409908295E0,3.735906991E0
5.124181370E-1,-7.228172421E-1,-3.529638290E0,1.365576744E0,3.853000269E0
5.203832250E-1,-7.589719892E-1,-3.665850639E0,1.323321342E0,3.970601814E0
5.283177950E-1,-7.643199563E-1,-3.760692358E0,1.278799057E0,4.045036345E0
5.361913300E-1,-7.480272055E-1,-3.901368141E0,1.260103226E0,4.167502635E0
5.441259010E-1,-7.820534706E-1,-4.026151657E0,1.240929604E0,4.285021713E0
5.520299530E-1,-7.828823328E-1,-4.146187305E0,1.233558655E0,4.396071072E0
5.599034890E-1,-7.982703447E-1,-4.278501511E0,1.247073174E0,4.527471946E0
5.678685770E-1,-8.187145591E-1,-4.394331932E0,1.279005051E0,4.649333348E0
5.757726290E-1,-8.058976531E-1,-4.511362076E0,1.262490273E0,4.753497712E0
5.837377170E-1,-8.121717572E-1,-4.614208221E0,1.230722427E0,4.844091057E0
5.916112520E-1,-8.522998691E-1,-4.734928131E0,1.167155266E0,4.950576824E0
5.995458230E-1,-8.249311447E-1,-4.822153568E0,1.128094673E0,5.020585028E0
6.075414280E-1,-8.531284332E-1,-4.925981045E0,1.076595306E0,5.113919713E0
6.154454810E-1,-8.380491734E-1,-5.022777081E0,1.039834023E0,5.197294567E0
6.233800510E-1,-8.421557546E-1,-5.104086399E0,9.869194031E-1,5.266396699E0
6.312535860E-1,-8.429887295E-1,-5.181868553E0,9.541978836E-1,5.335998998E0
6.390966040E-1,-8.398391604E-1,-5.258338928E0,8.373727798E-1,5.390422179E0
6.470616920E-1,-8.449934721E-1,-5.320456028E0,7.285985947E-1,5.436186368E0
6.549352270E-1,-8.423745632E-1,-5.376722336E0,6.858663559E-1,5.485357841E0
6.628697970E-1,-8.441067934E-1,-5.427408695E0,5.941677094E-1,5.524700597E0
6.707738500E-1,-8.236863613E-1,-5.499965668E0,5.136451721E-1,5.584972062E0
6.787389380E-1,-8.382645845E-1,-5.558333397E0,4.789104462E-1,5.641552347E0
6.867040260E-1,-8.544914126E-1,-5.600347519E0,4.287033081E-1,5.681358502E0
6.946080780E-1,-8.194026351E-1,-5.643020153E0,3.929948807E-1,5.715727609E0
7.025731660E-1,-8.429600000E-1,-5.683012486E0,3.687448502E-1,5.757011832E0
7.104772190E-1,-8.132480979E-1,-5.721146107E0,3.358011246E-1,5.788406312E0
7.183812720E-1,-8.377770782E-1,-5.742791176E0,3.082818985E-1,5.811760375E0
7.263463600E-1,-8.208523393E-1,-5.782035351E0,2.767944336E-1,5.846567071E0
7.342504120E-1,-8.103588820E-1,-5.799517155E0,2.227811813E-1,5.860094897E0
7.422155000E-1,-8.253852129E-1,-5.830431938E0,1.793327332E-1,5.891295067E0
7.500585180E-1,-8.081685305E-1,-5.830972672E0,9.092998505E-2,5.887414282E0
7.579625710E-1,-8.117235303E-1,-5.859236717E0,2.967834473E-2,5.915270983E0
7.658971410E-1,-8.312644958E-1,-5.867548943E0,-1.394462585E-2,5.926156065E0
7.738011940E-1,-8.161562085E-1,-5.878612518E0,-5.503654480E-2,5.935252743E0
7.817357640E-1,-8.120740652E-1,-5.881563187E0,-1.146011353E-1,5.938466404E0
7.896398170E-1,-8.115777969E-1,-5.904011726E0,-1.573877335E-1,5.961609169E0
7.975438690E-1,-8.197236061E-1,-5.894229889E0,-1.972770691E-1,5.954226315E0
8.055089570E-1,-8.222101331E-1,-5.926809311E0,-2.388792038E-1,5.988335444E0
8.133824930E-1,-8.379483223E-1,-5.934976578E0,-2.283391953E-1,5.998186656E0
8.213170630E-1,-8.192936778E-1,-5.931453705E0,-2.035608292E-1,5.991228772E0
8.292211160E-1,-8.330497742E-1,-5.952252388E0,-1.645126343E-1,6.012515682E0
8.371862030E-1,-8.574709892E-1,-5.945362091E0,-1.121644974E-1,6.007925413E0
8.451207740E-1,-8.497073650E-1,-5.955171585E0,-6.253623962E-2,6.015811001E0
8.530248270E-1,-8.315790296E-1,-5.941349983E0,-3.214740753E-2,5.999349695E0
8.609593970E-1,-8.217745423E-1,-5.950090408E0,-7.546424866E-3,6.006575248E0
8.688634500E-1,-8.423641324E-1,-5.930233955E0,2.892875671E-2,5.989832132E0
8.767675020E-1,-8.525305986E-1,-5.934671402E0,3.195476532E-2,5.995677958E0
