"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.605160487E1,-1.040466130E-1,-2.016946316E0,-6.248426437E-1,2.114078160E0
6.605950892E1,-1.161833107E-1,-2.025187492E0,-6.658830643E-1,2.135013629E0
6.606741298E1,-9.916746616E-2,-2.050293922E0,-6.831588745E-1,2.163387483E0
6.607534755E1,-9.866681695E-2,-2.063104153E0,-7.436180115E-1,2.195245233E0
6.608320980E1,-9.069311619E-2,-2.072770834E0,-7.898540497E-1,2.220016575E0
6.609113414E1,-8.946210146E-2,-2.087494135E0,-8.052272797E-1,2.239202135E0
6.609899330E1,-8.070671558E-2,-2.106470108E0,-8.135919571E-1,2.259571146E0
6.610690272E1,-8.611339331E-2,-2.114746809E0,-8.150091171E-1,2.267996791E0
6.611487041E1,-7.194381952E-2,-2.106481314E0,-8.454837799E-1,2.270965050E0
6.612276018E1,-8.128702641E-2,-2.107003927E0,-8.546409607E-1,2.275188850E0
6.613073695E1,-5.909800529E-2,-2.111219645E0,-8.688449860E-1,2.283775946E0
6.613864100E1,-6.767544150E-2,-2.082044601E0,-8.786153793E-1,2.260852643E0
6.614657557E1,-5.918276310E-2,-2.090050459E0,-8.766794205E-1,2.267240686E0
6.615454066E1,-7.176852226E-2,-2.103824377E0,-8.558626175E-1,2.272383891E0
6.616247241E1,-6.233659387E-2,-2.071679592E0,-8.497781754E-1,2.240059180E0
6.617044795E1,-6.684124470E-2,-2.052518368E0,-8.391447067E-1,2.218437117E0
6.617831385E1,-6.611931324E-2,-2.039168358E0,-8.143596649E-1,2.196761484E0
6.618621791E1,-5.775389075E-2,-2.030442238E0,-7.874479294E-1,2.178555814E0
6.619417841E1,-6.814503670E-2,-2.015288353E0,-7.607040405E-1,2.155156962E0
6.620207341E1,-5.196651816E-2,-1.970929027E0,-7.365608215E-1,2.104705108E0
6.621001514E1,-6.896325946E-2,-1.944308043E0,-6.598052979E-1,2.054369180E0
6.621792567E1,-5.189728737E-2,-1.918257236E0,-6.381454468E-1,2.022284294E0
6.622589076E1,-3.442180157E-2,-1.875144482E0,-6.356515884E-1,1.980253678E0
6.623382414E1,-5.252408981E-2,-1.835338712E0,-5.779771805E-1,1.924911579E0
6.624168649E1,-4.881832004E-2,-1.801466346E0,-5.249080658E-1,1.877016969E0
6.624964195E1,-5.688518286E-2,-1.736739516E0,-5.027418137E-1,1.808935986E0
6.625753749E1,-4.308086634E-2,-1.708420277E0,-4.323740005E-1,1.762811130E0
6.626544154E1,-3.873175383E-2,-1.643453836E0,-3.639860153E-1,1.683723992E0
6.627340603E1,-3.153878450E-2,-1.595134616E0,-3.142700195E-1,1.626104173E0
6.628131068E1,-4.564085603E-2,-1.536391139E0,-2.424211502E-1,1.556068390E0
6.628927577E1,-3.574767709E-2,-1.464632511E0,-1.890678406E-1,1.477217972E0
6.629716961E1,-4.960051179E-2,-1.403262138E0,-1.181974411E-1,1.409104494E0
6.630514491E1,-3.454846144E-2,-1.341700196E0,-7.523250580E-2,1.344251815E0
6.631306499E1,-2.892574668E-2,-1.269249201E0,-9.784698486E-3,1.269616467E0
6.632095301E1,-4.001563787E-2,-1.189822674E0,4.226493835E-2,1.191245387E0
6.632888758E1,-4.144302011E-2,-1.086556196E0,1.097183228E-1,1.092867788E0
6.633678588E1,-3.575703502E-2,-1.033877373E0,1.710758209E-1,1.048545623E0
6.634469569E1,-3.229323030E-2,-9.477205276E-1,2.503757477E-1,9.807675903E-1
6.635265888E1,-4.308101535E-2,-8.555995226E-1,3.044939041E-1,9.091881294E-1
6.636056483E1,-4.887309670E-2,-7.712264657E-1,3.646640778E-1,8.544932595E-1
6.636849938E1,-2.591425180E-2,-6.838415861E-1,4.236249924E-1,8.048409765E-1
6.637640345E1,-4.868811369E-2,-6.110044718E-1,4.980525970E-1,7.897805938E-1
6.638439906E1,-2.832776308E-2,-5.057475567E-1,5.594205856E-1,7.546750591E-1
6.639236415E1,-2.462941408E-2,-4.067113400E-1,6.364622116E-1,7.557148066E-1
6.640022161E1,-3.424200416E-2,-3.073973656E-1,6.883907318E-1,7.546836787E-1
6.640817225E1,-2.230796218E-2,-2.222676277E-1,7.369012833E-1,7.700156133E-1
6.641607630E1,-1.788806915E-2,-1.108208895E-1,8.005485535E-1,8.083806276E-1
6.642394984E1,-3.707763553E-2,-4.219543934E-2,8.367357254E-1,8.386190317E-1
6.643188441E1,-2.449160814E-2,2.675592899E-2,8.777265549E-1,8.784757388E-1
6.643975338E1,-3.643786907E-2,7.735824585E-2,9.309387207E-1,9.348576994E-1
6.644772303E1,-5.003458261E-2,1.451778412E-1,9.401245117E-1,9.525828901E-1
6.645554984E1,-3.407120705E-2,1.951845884E-1,9.834985733E-1,1.003258349E0
6.646347010E1,-2.773833275E-2,2.325378656E-1,9.834575653E-1,1.010956011E0
6.647139091E1,-3.757619858E-2,2.883037329E-1,1.003297806E0,1.044575273E0
6.647927821E1,-1.628309488E-2,3.416327238E-1,1.021079063E0,1.076838201E0
6.648721278E1,-2.366626263E-2,4.131721258E-1,1.019831657E0,1.100603429E0
6.649510299E1,-1.342874765E-2,5.075763464E-1,1.042019844E0,1.159145993E0
6.650298999E1,-2.733469009E-2,5.996891260E-1,1.062314987E0,1.220199723E0
6.651090861E1,4.204809666E-3,6.994246244E-1,1.078355789E0,1.285326299E0
6.651882899E1,-7.404446602E-3,8.005448580E-1,1.109508514E0,1.368187136E0
6.652676356E1,9.281575680E-3,8.847256899E-1,1.128929138E0,1.434331445E0
6.653463710E1,-2.605021000E-3,9.842878580E-1,1.175251961E0,1.532986153E0
6.654260218E1,9.170353413E-3,1.064233422E0,1.176126480E0,1.586174760E0
6.655053676E1,2.809131145E-2,1.159175992E0,1.203663826E0,1.671312271E0
6.655837977E1,2.468001842E-2,1.317499280E0,1.224378586E0,1.798754118E0
6.656634486E1,3.186261654E-2,1.334258676E0,1.207618713E0,1.799890107E0
6.657424891E1,4.774183035E-2,1.424556613E0,1.198420525E0,1.862217114E0
6.658215297E1,4.414331913E-2,1.510332465E0,1.178701401E0,1.916348032E0
6.659011805E1,6.194120646E-2,1.579386353E0,1.155461311E0,1.957904188E0
6.659802211E1,7.761090994E-2,1.663817286E0,1.144555092E0,2.020969513E0
6.660595668E1,7.390475273E-2,1.747319221E0,1.113860130E0,2.073468294E0
6.661386073E1,7.700419426E-2,1.807944655E0,1.127766609E0,2.132240851E0
6.662176478E1,8.945459127E-2,1.890847921E0,1.114239693E0,2.196551406E0
6.662969935E1,1.040666699E-1,1.958244801E0,1.085368156E0,2.241333667E0
6.663763392E1,9.657567739E-2,2.033061266E0,1.114854813E0,2.320682276E0
6.664556849E1,1.271969080E-1,2.075503349E0,1.076119423E0,2.341351366E0
6.665347255E1,1.216685176E-1,2.135572672E0,1.091076851E0,2.401233550E0
6.666137660E1,1.061198115E-1,2.181434155E0,1.101875305E0,2.446230891E0
6.666935522E1,1.307930350E-1,2.220653534E0,1.094238281E0,2.479065621E0
6.667721522E1,1.288372874E-1,2.268810272E0,1.109358788E0,2.528789437E0
6.668517853E1,1.335597038E-1,2.302145243E0,1.100698471E0,2.555239331E0
6.669305385E1,1.358000040E-1,2.329642057E0,1.095378876E0,2.577892286E0
6.670101893E1,1.327791810E-1,2.353092909E0,1.069119453E0,2.587990138E0
6.670895350E1,1.507424712E-1,2.376688719E0,1.047942162E0,2.601836915E0
6.671682704E1,1.515756249E-1,2.391309023E0,1.029644966E0,2.607969089E0
6.672479213E1,1.326200366E-1,2.401079893E0,1.035433769E0,2.618185596E0
6.673269618E1,1.468991637E-1,2.418985605E0,9.867725372E-1,2.616637301E0
6.674060023E1,1.439732313E-1,2.435195923E0,9.673261642E-1,2.624238438E0
6.674853480E1,1.475914121E-1,2.427137852E0,9.622459412E-1,2.615090558E0
6.675640834E1,1.461173892E-1,2.396301031E0,9.650688171E-1,2.587463380E0
6.676437342E1,1.467063427E-1,2.404448032E0,9.540338516E-1,2.590959992E0
6.677227748E1,1.300359964E-1,2.367108107E0,9.503984451E-1,2.554088361E0
6.678015101E1,1.344375610E-1,2.349964380E0,9.714231491E-1,2.546383510E0
6.678807668E1,1.192442179E-1,2.312376499E0,9.836540222E-1,2.515726434E0
6.679595912E1,1.322453618E-1,2.291717768E0,1.003468513E0,2.505276077E0
6.680388611E1,1.234309673E-1,2.219644547E0,1.012267113E0,2.442691512E0
6.681179774E1,1.045939922E-1,2.180149794E0,1.014955521E0,2.407099444E0
6.681970179E1,1.021785736E-1,2.136750460E0,1.020924568E0,2.370322755E0
6.682762011E1,1.114784479E-1,2.092741489E0,1.054564476E0,2.346081972E0
6.683547684E1,1.083863378E-1,2.045796871E0,1.044116020E0,2.299393550E0
6.684342403E1,8.569997549E-2,1.992376089E0,1.037048340E0,2.247749146E0
6.685131801E1,6.510722637E-2,1.925983191E0,1.016964912E0,2.178960264E0
6.685928309E1,7.550376654E-2,1.857034922E0,1.029768944E0,2.124783188E0
6.686721766E1,5.200099945E-2,1.776473999E0,1.017310143E0,2.047799770E0
6.687506068E1,3.795146942E-2,1.715443850E0,1.009349823E0,1.990722226E0
6.688299525E1,1.650649309E-2,1.647218943E0,1.005782127E0,1.930077822E0
6.689089930E1,3.304225206E-2,1.560597420E0,1.018038750E0,1.863587667E0
6.689880336E1,8.695125580E-3,1.481456518E0,1.022970200E0,1.800349147E0
6.690673793E1,1.995867491E-2,1.393803000E0,1.034423828E0,1.735833462E0
6.691462453E1,7.152855396E-3,1.313367248E0,1.029022217E0,1.668493756E0
6.692257053E1,-1.300764084E-2,1.214640260E0,1.038216591E0,1.597940502E0
6.693044645E1,-4.514181614E-2,1.130924582E0,1.051656723E0,1.544995164E0
6.693841517E1,-3.454375267E-2,1.036205411E0,1.089415550E0,1.503908629E0
6.694634974E1,-5.765306950E-2,9.240218401E-1,1.088801384E0,1.429205615E0
6.695422328E1,-6.635153294E-2,8.362108469E-1,1.083753586E0,1.370464498E0
6.696212733E1,-7.743304968E-2,7.429202795E-1,1.091432571E0,1.322554905E0
6.697003138E1,-8.865737915E-2,6.350737810E-1,1.085008621E0,1.260326365E0
6.697790338E1,-7.589697838E-2,5.418528318E-1,1.086229324E0,1.216247914E0
6.698587001E1,-1.039576530E-1,4.354091883E-1,1.025924683E0,1.119334539E0
6.699374345E1,-1.081036925E-1,3.403738737E-1,9.947223663E-1,1.056888532E0
6.700170863E1,-1.167983115E-1,2.352105379E-1,9.836730957E-1,1.018125042E0
6.700961268E1,-1.262476146E-1,1.122149229E-1,9.434003830E-1,9.584022808E-1
6.701757777E1,-1.276586652E-1,-2.056121826E-3,9.211597443E-1,9.299657181E-1
6.702551234E1,-1.305393577E-1,-1.016767025E-1,9.078226089E-1,9.227787194E-1
6.703341639E1,-1.240360737E-1,-2.121804953E-1,9.054698944E-1,9.382330413E-1
6.704133088E1,-1.425936222E-1,-3.151651621E-1,8.545341492E-1,9.218951310E-1
6.704923741E1,-1.407137513E-1,-3.921025991E-1,8.437690735E-1,9.410053440E-1
6.705709803E1,-1.615330279E-1,-4.944691658E-1,8.396739960E-1,9.877474852E-1
6.706503260E1,-1.441342533E-1,-5.868966579E-1,8.057174683E-1,1.007175759E0
6.707293666E1,-1.528856754E-1,-6.636455059E-1,7.874364853E-1,1.041083861E0
6.708090253E1,-1.540826559E-1,-7.334098816E-1,7.465295792E-1,1.057798625E0
6.708877528E1,-1.523329020E-1,-7.978478670E-1,6.997213364E-1,1.072089773E0
6.709667933E1,-1.520750225E-1,-8.563434482E-1,6.615581512E-1,1.092753449E0
6.710461390E1,-1.381997168E-1,-9.544665813E-1,6.133384705E-1,1.142930311E0
6.711248744E1,-1.431708038E-1,-1.038555861E0,5.639972687E-1,1.190457506E0
6.712042201E1,-1.597912610E-1,-1.111763000E0,5.016040802E-1,1.230104414E0
6.712829554E1,-1.378872693E-1,-1.207335234E0,4.450740814E-1,1.294126038E0
6.713613856E1,-1.420090497E-1,-1.267032623E0,3.753623962E-1,1.329073048E0
6.714405964E1,-1.338020861E-1,-1.332520366E0,3.162384033E-1,1.376052416E0
6.715197718E1,-1.658632755E-1,-1.407090425E0,2.556781769E-1,1.439717133E0
6.715994227E1,-1.518463492E-1,-1.472384095E0,2.031126022E-1,1.494063910E0
6.716781581E1,-1.424239576E-1,-1.517908335E0,1.368846893E-1,1.530708240E0
6.717577649E1,-1.274591684E-1,-1.566230774E0,9.042739868E-2,1.574008193E0
6.718374598E1,-1.407707930E-1,-1.603049517E0,2.289199829E-2,1.609381314E0
6.719158522E1,-1.130775809E-1,-1.648504853E0,-3.711509705E-2,1.652795305E0
6.719955409E1,-1.040110290E-1,-1.668415070E0,-7.054519653E-2,1.673141884E0
6.720742762E1,-1.113071442E-1,-1.701384187E0,-1.253786087E-1,1.709624879E0
6.721530116E1,-1.132677197E-1,-1.698112845E0,-1.633901596E-1,1.709711425E0
6.722323573E1,-9.670957923E-2,-1.767506361E0,-2.366466522E-1,1.785898406E0
6.723110245E1,-1.037688255E-1,-1.793600321E0,-3.023824692E-1,1.821868612E0
6.723906761E1,-1.104439795E-1,-1.824544191E0,-3.463172913E-1,1.860401850E0
6.724697841E1,-1.026487648E-1,-1.861901760E0,-4.283409119E-1,1.913293200E0
6.725494349E1,-9.675663710E-2,-1.888137698E0,-4.839859009E-1,1.951580940E0
6.726287806E1,-1.001637578E-1,-1.914584875E0,-5.299129486E-1,1.989089177E0
6.727073380E1,-7.710587978E-2,-1.951983213E0,-5.781946182E-1,2.037275828E0
6.727868617E1,-8.947661519E-2,-1.961092949E0,-6.384925842E-1,2.064355686E0
6.728655970E1,-7.537686825E-2,-1.994704247E0,-6.652288437E-1,2.104057061E0
6.729440272E1,-5.161345005E-2,-2.015390635E0,-7.279539108E-1,2.143450549E0
6.730239833E1,-7.999897003E-2,-2.038715363E0,-7.381792068E-1,2.169716273E0
6.731025399E1,-7.704257965E-2,-2.045562267E0,-7.819814682E-1,2.191290844E0
6.731820643E1,-5.687245727E-2,-2.061822414E0,-7.949256897E-1,2.210487050E0
6.732609838E1,-4.609334469E-2,-2.068157673E0,-8.151998520E-1,2.223499844E0
6.733406880E1,-4.931455851E-2,-2.082625628E0,-8.117723465E-1,2.235785270E0
6.734197388E1,-6.636875868E-2,-2.078391075E0,-8.038425446E-1,2.229411830E0
6.734988368E1,-6.639355421E-2,-2.082581282E0,-8.320779800E-1,2.243636928E0
6.735781825E1,-5.419811606E-2,-2.095515728E0,-8.581533432E-1,2.265071911E0
6.736572230E1,-6.538376212E-2,-2.077472210E0,-8.678045273E-1,2.252387737E0
6.737359584E1,-5.235123634E-2,-2.082073927E0,-8.753309250E-1,2.259198247E0
6.738153041E1,-5.087718368E-2,-2.094928265E0,-8.663606644E-1,2.267574414E0
6.738940384E1,-5.606201291E-2,-2.052556992E0,-8.673076630E-1,2.228980874E0
6.739736503E1,-4.655644298E-2,-2.056714773E0,-8.493375778E-1,2.225672366E0
6.740524257E1,-5.340459943E-2,-2.035570145E0,-8.435564041E-1,2.204083772E0
6.741320765E1,-4.543033242E-2,-2.023815155E0,-8.236789703E-1,2.185483641E0
6.742114222E1,-4.899254441E-2,-1.991136074E0,-7.896175385E-1,2.142549647E0
6.742901576E1,-2.607482672E-2,-1.964566946E0,-7.508745193E-1,2.103334430E0
6.743695984E1,-2.662813663E-2,-1.956549883E0,-7.099075317E-1,2.081529535E0
6.744482386E1,-2.439096570E-2,-1.906453967E0,-6.833276749E-1,2.025363760E0
6.745272792E1,-3.386622667E-2,-1.871653676E0,-6.399707794E-1,1.978331874E0
6.746069301E1,-3.809285164E-2,-1.826677322E0,-5.870180130E-1,1.919059992E0
6.746859706E1,-2.758365870E-2,-1.804199576E0,-5.386991501E-1,1.883107470E0
6.747653163E1,-2.415698767E-2,-1.758662701E0,-4.566478729E-1,1.817142079E0
6.748443568E1,-2.743193507E-2,-1.713065743E0,-4.341773987E-1,1.767443568E0
6.749243129E1,-3.295740485E-2,-1.652096033E0,-3.778057098E-1,1.695064792E0
6.750039637E1,-2.135396004E-2,-1.585882425E0,-3.568992615E-1,1.625686360E0
6.750826991E1,-3.603094816E-2,-1.523910522E0,-2.827682495E-1,1.550341702E0
6.751620448E1,-3.131824732E-2,-1.468932390E0,-2.223720551E-1,1.485998833E0
6.752407801E1,-2.387914062E-2,-1.411654711E0,-1.827983856E-1,1.423641277E0
6.753198207E1,-2.369993925E-2,-1.347342849E0,-1.017513275E-1,1.351387351E0
6.753994716E1,-1.618418097E-2,-1.274834394E0,-4.615974426E-2,1.275772465E0
6.754785121E1,-2.526906133E-2,-1.189380646E0,1.998138428E-2,1.189816835E0
6.755578578E1,-1.760923862E-2,-1.131096125E0,7.511711121E-2,1.133724441E0
6.756367422E1,-2.640235424E-2,-1.064940214E0,1.553182602E-1,1.076530773E0
6.757162440E1,-2.811634541E-2,-9.661177993E-1,2.246341705E-1,9.922875801E-1
6.757958949E1,-5.748271942E-3,-8.882955909E-1,3.023967743E-1,9.383740771E-1
6.758749354E1,-2.650821209E-2,-8.009871840E-1,3.524942398E-1,8.755200417E-1
6.759541788E1,-2.346086502E-2,-7.128413916E-1,4.109325409E-1,8.231396084E-1
6.760332984E1,-8.397936821E-3,-6.242209673E-1,4.968605042E-1,7.978675967E-1
6.761123622E1,-1.953524351E-2,-5.396083593E-1,5.744304657E-1,7.883712115E-1
6.761917079E1,-2.835136652E-2,-4.541594982E-1,6.221189499E-1,7.707766457E-1
6.762705984E1,-2.413007617E-2,-3.293148279E-1,6.987085342E-1,7.728027771E-1
6.763500230E1,-2.779981494E-2,-2.543888092E-1,7.543239594E-1,7.965495161E-1
6.764289184E1,-2.356576920E-2,-1.330661774E-1,8.009767532E-1,8.122965667E-1
6.765087855E1,-1.439774036E-2,-7.599949837E-2,8.493871689E-1,8.529019764E-1
6.765884214E1,-4.505583644E-2,1.815485954E-2,8.817787170E-1,8.831156964E-1
6.766674769E1,-9.806990623E-3,7.181227207E-2,9.210929871E-1,9.239401876E-1
6.767467141E1,-1.290416718E-2,1.247533560E-1,9.376935959E-1,9.460439721E-1
6.768255580E1,-2.710157633E-2,1.818526983E-1,9.856920242E-1,1.002693206E0
6.769041718E1,-3.577196598E-2,2.408136129E-1,1.014816284E0,1.043610521E0
6.769839442E1,-4.373502731E-2,2.919489145E-1,1.027427673E0,1.068996981E0
6.770629847E1,-4.389101267E-2,3.346232176E-1,1.074748039E0,1.126491219E0
6.771420253E1,-3.673726320E-2,3.808077574E-1,1.096396446E0,1.161227515E0
6.772210658E1,-3.883701563E-2,4.951063395E-1,1.118756294E0,1.224031963E0
6.773001063E1,-1.457333565E-2,5.836356878E-1,1.156130791E0,1.295176206E0
6.773794520E1,-2.876907587E-2,6.706489325E-1,1.186995506E0,1.363655375E0
6.774581874E1,-1.655608416E-2,7.763694525E-1,1.190075874E0,1.421022244E0
6.775373660E1,-4.724681377E-3,8.984216452E-1,1.188586235E0,1.489939936E0
6.776160395E1,-2.314746380E-3,9.785963297E-1,1.185368538E0,1.537125468E0
6.776946986E1,-1.204526424E-2,1.091833949E0,1.199003220E0,1.621682824E0
6.777743495E1,1.641964912E-2,1.171365142E0,1.164854050E0,1.652044448E0
6.778530848E1,1.536309719E-3,1.271712661E0,1.190399170E0,1.741925841E0
6.779322476E1,3.923088312E-2,1.355086684E0,1.208702087E0,1.816248805E0
6.780114711E1,3.336054087E-2,1.441367269E0,1.216685295E0,1.886524751E0
6.780914271E1,3.708469868E-2,1.503464580E0,1.214859962E0,1.933304359E0
6.781707728E1,6.215596199E-2,1.589655519E0,1.192828178E0,1.988393094E0
6.782495082E1,4.622358084E-2,1.651820302E0,1.198260307E0,2.041194428E0
6.783291591E1,7.590973377E-2,1.735974669E0,1.208650589E0,2.116649850E0
6.784081996E1,8.153045177E-2,1.829178810E0,1.213703156E0,2.196728860E0
6.784869349E1,8.674097061E-2,1.896756411E0,1.196105003E0,2.244075769E0
6.785662806E1,8.687865734E-2,1.955877304E0,1.211003304E0,2.302071443E0
6.786453212E1,7.977700233E-2,2.032345295E0,1.188679695E0,2.355790989E0
6.787243295E1,1.152524948E-1,2.105089664E0,1.172312737E0,2.412260928E0
6.788027853E1,1.218776107E-1,2.155096292E0,1.147552490E0,2.444620809E0
6.788827479E1,1.158520579E-1,2.187894344E0,1.132721901E0,2.466447296E0
6.789620936E1,1.264951825E-1,2.249092579E0,1.133677483E0,2.521833280E0
6.790405918E1,1.415728331E-1,2.294118643E0,1.135330200E0,2.563590817E0
6.791201747E1,1.083337069E-1,2.319448709E0,1.110770226E0,2.573983101E0
6.791985749E1,1.466948390E-1,2.375022650E0,1.101583481E0,2.622162872E0
6.792776454E1,1.366170645E-1,2.416812181E0,1.076158524E0,2.649105983E0
6.793576014E1,1.284999251E-1,2.415384531E0,1.038928986E0,2.632483257E0
6.794362926E1,1.414888501E-1,2.424769640E0,1.043158531E0,2.643427060E0
6.795159877E1,1.444553137E-1,2.437036753E0,1.064539909E0,2.663317610E0
6.795944178E1,1.445181370E-1,2.456623793E0,1.050210953E0,2.675598811E0
6.796739614E1,1.442183256E-1,2.465121031E0,1.086712837E0,2.697881653E0
6.797530941E1,1.411171556E-1,2.470018864E0,1.085597038E0,2.701745393E0
6.798321498E1,1.302871704E-1,2.436521769E0,1.094147682E0,2.674092786E0
6.799112153E1,1.383912563E-1,2.428211927E0,1.081896782E0,2.661928991E0
6.799905360E1,1.316848993E-1,2.415882826E0,1.051017761E0,2.637891028E0
6.800692714E1,1.196227074E-1,2.398884058E0,1.027564049E0,2.612439892E0
6.801489222E1,1.214786172E-1,2.373267412E0,1.028722763E0,2.589483691E0
6.802279628E1,1.395452619E-1,2.338132143E0,1.011022568E0,2.551176480E0
6.803076136E1,1.285674572E-1,2.311423063E0,1.020553589E0,2.529967548E0
6.803866542E1,1.077150106E-1,2.271509409E0,1.035778999E0,2.498838861E0
6.804663051E1,1.153153181E-1,2.220010757E0,1.008525848E0,2.441079633E0
6.805459559E1,1.079605222E-1,2.191232681E0,1.011008263E0,2.415635288E0
6.806245887E1,7.634294033E-2,2.123500586E0,1.002847672E0,2.349635383E0
6.807040370E1,8.756393194E-2,2.052066326E0,1.014954567E0,2.291020825E0
6.807830775E1,7.917088270E-2,2.020214319E0,1.057035446E0,2.281415758E0
6.808621180E1,6.825506687E-2,1.931178570E0,1.053135872E0,2.200728195E0
6.809412041E1,5.231297016E-2,1.878634691E0,1.055136681E0,2.155300064E0
6.810205043E1,4.086190462E-2,1.799649715E0,1.082942009E0,2.100755147E0
6.811001551E1,3.393149376E-2,1.720117331E0,1.100528717E0,2.042331617E0
6.811785853E1,3.862529993E-2,1.644278288E0,1.117334366E0,1.988360905E0
6.812582362E1,1.692336798E-2,1.559733510E0,1.098263741E0,1.907678764E0
6.813375819E1,-1.443743706E-2,1.469165444E0,1.092880249E0,1.831131558E0
6.814162937E1,-7.772743702E-3,1.390478730E0,1.087297440E0,1.765136606E0
6.814958530E1,-1.083260775E-2,1.300445676E0,1.089007378E0,1.696235057E0
6.815748576E1,-4.286795855E-2,1.221583247E0,1.078430176E0,1.630065930E0
6.816537440E1,-4.150503874E-2,1.140203118E0,1.053480148E0,1.552934719E0
6.817333949E1,-4.500418901E-2,1.042657495E0,1.074301720E0,1.497759731E0
6.818118251E1,-6.052702665E-2,9.317389727E-1,1.042190552E0,1.399272018E0
6.818911708E1,-6.412923336E-2,8.562079668E-1,1.046774864E0,1.353861979E0
6.819696010E1,-7.737988234E-2,7.370885611E-1,1.029953003E0,1.268893369E0
6.820492518E1,-8.594048023E-2,6.405099630E-1,1.047266006E0,1.230611583E0
6.821285975E1,-9.706014395E-2,5.477322340E-1,1.055150986E0,1.192801272E0
6.822073329E1,-1.082774401E-1,4.258748293E-1,1.064022064E0,1.151189093E0
6.822866786E1,-1.096433997E-1,3.217881918E-1,1.042541504E0,1.096568330E0
6.823651088E1,-1.493699551E-1,2.154811621E-1,1.033638000E0,1.066372839E0
6.824441493E1,-1.181774437E-1,9.882533550E-2,1.037282944E0,1.048660222E0
6.825241053E1,-1.317905784E-1,-5.717754364E-3,9.910812378E-1,9.998217187E-1
6.826028407E1,-1.414896250E-1,-9.758651257E-2,9.514923096E-1,9.668919570E-1
6.826821864E1,-1.585350335E-1,-1.934627295E-1,9.204292297E-1,9.538087604E-1
6.827611618E1,-1.484938562E-1,-3.051580191E-1,8.763790131E-1,9.397936031E-1
6.828411830E1,-1.468868554E-1,-4.023009539E-1,8.390798569E-1,9.420598771E-1
6.829205287E1,-1.466349065E-1,-4.845976830E-1,8.080682755E-1,9.535780240E-1
6.829992640E1,-1.575230658E-1,-5.564574003E-1,7.500820160E-1,9.471438039E-1
6.830789149E1,-1.533234715E-1,-6.559134722E-1,7.320232391E-1,9.947806756E-1
6.831576503E1,-1.630194783E-1,-7.055245638E-1,6.936874390E-1,1.002767432E0
6.832360804E1,-1.335054040E-1,-7.853242159E-1,6.308412552E-1,1.016129178E0
6.833154261E1,-1.463246047E-1,-8.297064900E-1,6.125383377E-1,1.041646276E0
6.833938203E1,-1.321856976E-1,-9.165419936E-1,5.691385269E-1,1.086941097E0
6.834738124E1,-1.558472812E-1,-1.009225368E0,5.199356079E-1,1.145930738E0
6.835525477E1,-1.505760252E-1,-1.101762533E0,4.789180756E-1,1.210750322E0
6.836321986E1,-1.376413703E-1,-1.151324272E0,4.200220108E-1,1.233252292E0
6.837111845E1,-1.437844634E-1,-1.250478268E0,3.741397858E-1,1.313145251E0
6.837905848E1,-1.255335510E-1,-1.320182443E0,3.006010056E-1,1.359779879E0
6.838696254E1,-1.405734718E-1,-1.376389265E0,2.734184265E-1,1.410307040E0
6.839484864E1,-1.334843636E-1,-1.424701810E0,1.943864822E-1,1.444084287E0
6.840277064E1,-1.259176433E-1,-1.477252960E0,1.232261658E-1,1.487721832E0
6.841070907E1,-1.227695346E-1,-1.511553288E0,5.025577545E-2,1.517363286E0
6.841863560E1,-1.119246185E-1,-1.559567809E0,-2.942085266E-2,1.563855638E0
6.842658495E1,-1.007776856E-1,-1.589433193E0,-7.524490356E-2,1.594401396E0
6.843450892E1,-1.105882823E-1,-1.599873304E0,-1.375808716E-1,1.609581577E0
6.844250453E1,-9.594064951E-2,-1.631155610E0,-1.877994537E-1,1.644731549E0
6.845040858E1,-1.009946465E-1,-1.674359202E0,-2.352161407E-1,1.693813830E0
6.845831263E1,-8.658969402E-2,-1.723527789E0,-2.918205261E-1,1.750201427E0
6.846624720E1,-9.348016977E-2,-1.775378942E0,-3.098106384E-1,1.804630589E0
6.847412074E1,-8.330410719E-2,-1.816700339E0,-3.634490967E-1,1.854571364E0
6.848202479E1,-9.180739522E-2,-1.835066319E0,-4.289493561E-1,1.886768280E0
6.848998988E1,-8.319437504E-2,-1.861928582E0,-4.632053375E-1,1.920483932E0
6.849786360E1,-8.161920309E-2,-1.900547981E0,-5.284814835E-1,1.974344702E0
6.850582850E1,-7.252085209E-2,-1.906033874E0,-5.746164322E-1,1.992086455E0
6.851370204E1,-8.011886477E-2,-1.937942743E0,-6.159267426E-1,2.035044683E0
6.852157557E1,-5.629858375E-2,-1.966659784E0,-6.692419052E-1,2.078173469E0
6.852952864E1,-5.857402086E-2,-1.962628126E0,-7.370367050E-1,2.097275180E0
6.853744471E1,-5.319982767E-2,-1.986884117E0,-7.881450653E-1,2.138156066E0
6.854540980E1,-5.230832100E-2,-2.004711866E0,-8.154907227E-1,2.164862801E0
6.855331385E1,-6.071290374E-2,-2.019633770E0,-8.357868195E-1,2.186583232E0
6.856118739E1,-4.971864820E-2,-2.019203424E0,-8.514757156E-1,2.191954677E0
6.856912196E1,-3.349360824E-2,-2.023615837E0,-8.483009338E-1,2.194483391E0
